home_score,away_score,final_float,first_float,second_float,third_float,fourth_float
8,1,0.009776763891152028,0,0.00032589212970506764,0.002444190972788007,0.008799087502036826
8,2,0.002444190972788007,0,0,0.0008147303242626691,0.0022812449079354733
8,3,0.008636141437184292,0,0.0017924067133778718,0.006191950464396285,0.008636141437184292
8,4,0.010591494215414698,0,0.0022812449079354733,0.005214274075281082,0.009287925696594427
8,5,0.005214274075281082,0,0.00016294606485253382,0.0011406224539677367,0.004888381945576014
8,6,0.0050513280104285485,0,0.0011406224539677367,0.002607137037640541,0.0050513280104285485
8,7,0.00945087176144696,0,0.0037477594916082778,0.011732116669382434,0.00945087176144696
8,8,0.00342186736190321,0,0,0.0017924067133778718,0.007332572918364022
8,9,0.00342186736190321,0,0,0.001955352778230406,0.00342186736190321
9,0,0.007332572918364022,0.002770083102493075,0.009287925696594427,0.006517842594101353,0.007332572918364022
9,1,0.005703112269838683,0,0.000977676389115203,0.0032589212970506763,0.005703112269838683
9,2,0.002770083102493075,0,0.00016294606485253382,0.0008147303242626691,0.0021182988430829396
9,3,0.009287925696594427,0.0013035685188202706,0.005866058334691217,0.008147303242626691,0.008473195372331759
9,4,0.006354896529248819,0,0.00342186736190321,0.0037477594916082778,0.006354896529248819
9,5,0.0017924067133778718,0,0.00016294606485253382,0.00032589212970506764,0.0014665145836728042
9,6,0.006029004399543751,0.00016294606485253382,0.002770083102493075,0.002607137037640541,0.004399543751018413
9,7,0.010591494215414698,0.00032589212970506764,0.007006680788658954,0.008473195372331759,0.010591494215414698
9,8,0.0021182988430829396,0,0,0.0004888381945576015,0.0021182988430829396
9,9,0.002607137037640541,0.00016294606485253382,0.0008147303242626691,0.0013035685188202706,0.004888381945576014
0,0,0.01971647384715659,0.18331432295910055,0.06990386182173701,0.043343653250773995,0.03177448264624409
0,1,0.009287925696594427,0.0021182988430829396,0.009613817826299494,0.012220954863940035,0.009287925696594427
0,2,0.005377220140133616,0.0011406224539677367,0.0037477594916082778,0.005866058334691217,0.005377220140133616
